n_righeA,n_colonneA,n_righeB,n_colonneB,time,flops
4096,256,256,2048,8.615616,498509610.16
4096,256,256,4096,16.072960,534433896.77
4096,256,256,8192,30.831743,557213682.34
4096,512,512,32,2.687776,49936350.19
4096,512,512,64,2.856416,93976317.60
4096,512,512,128,3.354048,160066555.34
4096,512,512,256,4.051232,265040822.35
4096,512,512,512,5.475968,392165128.33
4096,512,512,1024,8.271360,519257666.17
4096,512,512,2048,14.169216,606239222.93
4096,512,512,4096,26.621952,645327177.63
4096,512,512,8192,50.491776,680501686.05
4096,1024,1024,32,4.740992,56620102.31
4096,1024,1024,64,5.237248,102510119.39
4096,1024,1024,128,5.790304,185437895.81
4096,1024,1024,256,7.063776,304013553.52
4096,1024,1024,512,9.549344,449765687.33
4096,1024,1024,1024,14.981536,573368087.40
4096,1024,1024,2048,25.854048,664494369.83
4096,1024,1024,4096,47.237503,727382612.29
4096,1024,1024,8192,89.335968,769225187.36
4096,2048,2048,32,9.274592,57886200.16
4096,2048,2048,64,9.563936,112269864.39
4096,2048,2048,128,10.569088,203185331.75
4096,2048,2048,256,12.924320,332316688.43
4096,2048,2048,512,17.897663,479947272.23
4096,2048,2048,1024,27.831200,617288129.96
4096,2048,2048,2048,48.221760,712535969.51
4096,2048,2048,4096,88.008545,780827325.31
4096,2048,2048,8192,166.639420,824768556.19
4096,4096,4096,32,16.818209,63844006.43
4096,4096,4096,64,18.166048,118214134.53
4096,4096,4096,128,20.605312,208439805.40
4096,4096,4096,256,25.231039,340451083.92
4096,4096,4096,512,34.396927,499459421.01
4096,4096,4096,1024,53.243519,645331847.40
4096,4096,4096,2048,92.471519,743142073.69
4096,4096,4096,4096,138.930527,989263891.12
4096,4096,4096,8192,321.995697,853669503.93
4096,8192,8192,32,32.616959,65839481.64
4096,8192,8192,64,35.112289,122320912.87
4096,8192,8192,128,39.551327,217184486.53
4096,8192,8192,256,49.353184,348100525.23
4096,8192,8192,512,67.853249,506383099.98
4096,8192,8192,1024,105.778496,649654508.92
4096,8192,8192,2048,181.203522,758478379.23
4096,8192,8192,4096,331.185272,829982278.81
4096,8192,8192,8192,630.510986,871921070.07
8192,32,32,32,0.811136,20683604.04
8192,32,32,64,0.924448,36296721.41
8192,32,32,128,1.115552,60157542.72
8192,32,32,256,1.546848,86768527.29
8192,32,32,512,2.374048,113070778.94
8192,32,32,1024,3.983360,134778404.41
8192,32,32,2048,7.167392,149809283.13
8192,32,32,4096,13.464448,159492884.67
8192,32,32,8192,26.124096,164406351.50
8192,64,64,32,1.145760,29285740.70
8192,64,64,64,1.320832,50808023.49
8192,64,64,128,1.627392,82474120.30
